Bulan,Luas Lahan,Luas Panen (ha),Produksi Padi (ton),Tahun,curah hujan (mm)
Juli,38111,2874.0,63961.14,2014,171.5
Juli,38111,2874.0,63961.14,2015,0.0
Juli,38111,2874.0,63961.14,2016,224.0
Juli,38111,2874.0,63961.14,2017,178.0
Juli,38111,2874.0,63961.14,2018,0.0
Juli,38111,2874.0,63961.14,2019,0.0
Juli,38111,2874.0,63961.14,2020,51.8
Juli,38111,2874.0,63961.14,2021,9.8
Juli,38111,2874.0,63961.14,2022,150.0
Juli,38200,10376.66,63868.34,2013,91.7
Juli,38200,10376.66,63868.34,2014,171.5
Juli,38200,10376.66,63868.34,2015,0.0
Juli,38200,10376.66,63868.34,2016,224.0
Juli,38200,10376.66,63868.34,2017,178.0
Juli,38200,10376.66,63868.34,2018,0.0
Juli,38200,10376.66,63868.34,2019,0.0
Juli,38200,10376.66,63868.34,2020,51.8
Juli,38200,10376.66,63868.34,2021,9.8
Juli,38200,10376.66,63868.34,2022,150.0
Juli,37558,8454.0,55162.35,2013,91.7
Juli,37558,8454.0,55162.35,2014,171.5
Juli,37558,8454.0,55162.35,2015,0.0
Juli,37558,8454.0,55162.35,2016,224.0
Juli,37558,8454.0,55162.35,2017,178.0
Juli,37558,8454.0,55162.35,2018,0.0
Juli,37558,8454.0,55162.35,2019,0.0
Juli,37558,8454.0,55162.35,2020,51.8
Juli,37558,8454.0,55162.35,2021,9.8
Juli,37558,8454.0,55162.35,2022,150.0
Juli,38053,11016.1,70568.9,2013,91.7
Juli,38053,11016.1,70568.9,2014,171.5
Juli,38053,11016.1,70568.9,2015,0.0
Juli,38053,11016.1,70568.9,2016,224.0
Juli,38053,11016.1,70568.9,2017,178.0
Juli,38053,11016.1,70568.9,2018,0.0
Juli,38053,11016.1,70568.9,2019,0.0
Juli,38053,11016.1,70568.9,2020,51.8
Juli,38053,11016.1,70568.9,2021,9.8
Juli,38053,11016.1,70568.9,2022,150.0
Juli,35779,5387.1,33696.0,2013,91.7
Juli,35779,5387.1,33696.0,2014,171.5
Juli,35779,5387.1,33696.0,2015,0.0
Juli,35779,5387.1,33696.0,2016,224.0
Juli,35779,5387.1,33696.0,2017,178.0
Juli,35779,5387.1,33696.0,2018,0.0
Juli,35779,5387.1,33696.0,2019,0.0
Juli,35779,5387.1,33696.0,2020,51.8
Juli,35779,5387.1,33696.0,2021,9.8
Juli,35779,5387.1,33696.0,2022,150.0
Agustus,38111,974.0,17902.15,2013,35.0
Agustus,38111,974.0,17902.15,2014,4.0
Agustus,38111,974.0,17902.15,2015,0.0
Agustus,38111,974.0,17902.15,2016,140.0
Agustus,38111,974.0,17902.15,2017,261.0
Agustus,38111,974.0,17902.15,2018,0.0
Agustus,38111,974.0,17902.15,2019,0.0
Agustus,38111,974.0,17902.15,2020,19.7
Agustus,38111,974.0,17902.15,2021,8.3
Agustus,38111,974.0,17902.15,2022,514.0
Agustus,38200,1713.52,10263.98,2013,35.0
Agustus,38200,1713.52,10263.98,2014,4.0
Agustus,38200,1713.52,10263.98,2015,0.0
Agustus,38200,1713.52,10263.98,2016,140.0
Agustus,38200,1713.52,10263.98,2017,261.0
Agustus,38200,1713.52,10263.98,2018,0.0
Agustus,38200,1713.52,10263.98,2019,0.0
Agustus,38200,1713.52,10263.98,2020,19.7
Agustus,38200,1713.52,10263.98,2021,8.3
Agustus,38200,1713.52,10263.98,2022,514.0
Agustus,37558,3229.0,21069.22,2013,35.0
Agustus,37558,3229.0,21069.22,2014,4.0
Agustus,37558,3229.0,21069.22,2015,0.0
Agustus,37558,3229.0,21069.22,2016,140.0
Agustus,37558,3229.0,21069.22,2017,261.0
Agustus,37558,3229.0,21069.22,2018,0.0
Agustus,37558,3229.0,21069.22,2019,0.0
Agustus,37558,3229.0,21069.22,2020,19.7
Agustus,37558,3229.0,21069.22,2021,8.3
Agustus,37558,3229.0,21069.22,2022,514.0
Agustus,38053,4300.4,26339.8,2013,35.0
Agustus,38053,4300.4,26339.8,2014,4.0
Agustus,38053,4300.4,26339.8,2015,0.0
Agustus,38053,4300.4,26339.8,2016,140.0
Agustus,38053,4300.4,26339.8,2017,261.0
Agustus,38053,4300.4,26339.8,2018,0.0
Agustus,38053,4300.4,26339.8,2019,0.0
Agustus,38053,4300.4,26339.8,2020,19.7
Agustus,38053,4300.4,26339.8,2021,8.3
Agustus,38053,4300.4,26339.8,2022,514.0
Agustus,35779,3822.9,23817.0,2013,35.0
Agustus,35779,3822.9,23817.0,2014,4.0
Agustus,35779,3822.9,23817.0,2015,0.0
Agustus,35779,3822.9,23817.0,2016,140.0
Agustus,35779,3822.9,23817.0,2017,261.0
Agustus,35779,3822.9,23817.0,2018,0.0
Agustus,35779,3822.9,23817.0,2019,0.0
Agustus,35779,3822.9,23817.0,2020,19.7
Agustus,35779,3822.9,23817.0,2021,8.3
Agustus,35779,3822.9,23817.0,2022,514.0
September,38111,671.0,16069.38,2013,0.0
September,38111,671.0,16069.38,2014,0.0
September,38111,671.0,16069.38,2015,0.0
September,38111,671.0,16069.38,2016,266.0
September,38111,671.0,16069.38,2017,0.0
September,38111,671.0,16069.38,2018,133.3
September,38111,671.0,16069.38,2019,0.0
September,38111,671.0,16069.38,2020,2.0
September,38111,671.0,16069.38,2021,213.8
September,38111,671.0,16069.38,2022,243.0
September,38200,2843.2,16746.45,2013,0.0
September,38200,2843.2,16746.45,2014,0.0
September,38200,2843.2,16746.45,2015,0.0
September,38200,2843.2,16746.45,2016,266.0
September,38200,2843.2,16746.45,2017,0.0
September,38200,2843.2,16746.45,2018,133.3
September,38200,2843.2,16746.45,2019,0.0
September,38200,2843.2,16746.45,2020,2.0
September,38200,2843.2,16746.45,2021,213.8
September,38200,2843.2,16746.45,2022,243.0
September,37558,2623.0,17115.07,2013,0.0
September,37558,2623.0,17115.07,2014,0.0
September,37558,2623.0,17115.07,2015,0.0
September,37558,2623.0,17115.07,2016,266.0
September,37558,2623.0,17115.07,2017,0.0
September,37558,2623.0,17115.07,2018,133.3
September,37558,2623.0,17115.07,2019,0.0
September,37558,2623.0,17115.07,2020,2.0
September,37558,2623.0,17115.07,2021,213.8
September,37558,2623.0,17115.07,2022,243.0
September,38053,1517.6,9721.8,2013,0.0
September,38053,1517.6,9721.8,2014,0.0
September,38053,1517.6,9721.8,2015,0.0
September,38053,1517.6,9721.8,2016,266.0
September,38053,1517.6,9721.8,2017,0.0
September,38053,1517.6,9721.8,2018,133.3
September,38053,1517.6,9721.8,2019,0.0
September,38053,1517.6,9721.8,2020,2.0
September,38053,1517.6,9721.8,2021,213.8
September,38053,1517.6,9721.8,2022,243.0
September,35779,2807.1,18106.0,2013,0.0
September,35779,2807.1,18106.0,2014,0.0
September,35779,2807.1,18106.0,2015,0.0
September,35779,2807.1,18106.0,2016,266.0
September,35779,2807.1,18106.0,2017,0.0
September,35779,2807.1,18106.0,2018,133.3
September,35779,2807.1,18106.0,2019,0.0
September,35779,2807.1,18106.0,2020,2.0
September,35779,2807.1,18106.0,2021,213.8
September,35779,2807.1,18106.0,2022,243.0
Oktober,38111,1581.0,9797.46,2013,15.06
Oktober,38111,1581.0,9797.46,2014,0.0
Oktober,38111,1581.0,9797.46,2015,0.0
Oktober,38111,1581.0,9797.46,2016,322.0
Oktober,38111,1581.0,9797.46,2017,0.0
Oktober,38111,1581.0,9797.46,2018,142.0
Oktober,38111,1581.0,9797.46,2019,9.0
Oktober,38111,1581.0,9797.46,2020,84.5
Oktober,38111,1581.0,9797.46,2021,260.3
Oktober,38111,1581.0,9797.46,2022,376.0
Oktober,38200,2037.12,12801.26,2013,15.06
Oktober,38200,2037.12,12801.26,2014,0.0
Oktober,38200,2037.12,12801.26,2015,0.0
Oktober,38200,2037.12,12801.26,2016,322.0
Oktober,38200,2037.12,12801.26,2017,0.0
Oktober,38200,2037.12,12801.26,2018,142.0
Oktober,38200,2037.12,12801.26,2019,9.0
Oktober,38200,2037.12,12801.26,2020,84.5
Oktober,38200,2037.12,12801.26,2021,260.3
Oktober,38200,2037.12,12801.26,2022,376.0
Oktober,37558,416.0,2714.4,2013,15.06
Oktober,37558,416.0,2714.4,2014,0.0
Oktober,37558,416.0,2714.4,2015,0.0
Oktober,37558,416.0,2714.4,2016,322.0
Oktober,37558,416.0,2714.4,2017,0.0
Oktober,37558,416.0,2714.4,2018,142.0
Oktober,37558,416.0,2714.4,2019,9.0
Oktober,37558,416.0,2714.4,2020,84.5
Oktober,37558,416.0,2714.4,2021,260.3
Oktober,37558,416.0,2714.4,2022,376.0
Oktober,38053,1228.1,7921.4,2013,15.06
Oktober,38053,1228.1,7921.4,2014,0.0
Oktober,38053,1228.1,7921.4,2015,0.0
Oktober,38053,1228.1,7921.4,2016,322.0
Oktober,38053,1228.1,7921.4,2017,0.0
Oktober,38053,1228.1,7921.4,2018,142.0
Oktober,38053,1228.1,7921.4,2019,9.0
Oktober,38053,1228.1,7921.4,2020,84.5
Oktober,38053,1228.1,7921.4,2021,260.3
Oktober,38053,1228.1,7921.4,2022,376.0
Oktober,35779,2776.9,18508.0,2013,15.06
Oktober,35779,2776.9,18508.0,2014,0.0
Oktober,35779,2776.9,18508.0,2015,0.0
Oktober,35779,2776.9,18508.0,2016,322.0
Oktober,35779,2776.9,18508.0,2017,0.0
Oktober,35779,2776.9,18508.0,2018,142.0
Oktober,35779,2776.9,18508.0,2019,9.0
Oktober,35779,2776.9,18508.0,2020,84.5
Oktober,35779,2776.9,18508.0,2021,260.3
Oktober,35779,2776.9,18508.0,2022,376.0
November,38111,891.0,6504.3,2013,161.8
November,38111,891.0,6504.3,2014,0.0
November,38111,891.0,6504.3,2015,63.0
November,38111,891.0,6504.3,2016,224.0
November,38111,891.0,6504.3,2017,370.0
November,38111,891.0,6504.3,2018,317.1
November,38111,891.0,6504.3,2019,60.33
November,38111,891.0,6504.3,2020,239.7
November,38111,891.0,6504.3,2021,467.7
November,38111,891.0,6504.3,2022,526.0
November,38200,686.19,4303.1,2013,161.8
November,38200,686.19,4303.1,2014,0.0
November,38200,686.19,4303.1,2015,63.0
November,38200,686.19,4303.1,2016,224.0
November,38200,686.19,4303.1,2017,370.0
November,38200,686.19,4303.1,2018,317.1
November,38200,686.19,4303.1,2019,60.33
November,38200,686.19,4303.1,2020,239.7
November,38200,686.19,4303.1,2021,467.7
November,38200,686.19,4303.1,2022,526.0
November,37558,2928.0,19105.2,2013,161.8
November,37558,2928.0,19105.2,2014,0.0
November,37558,2928.0,19105.2,2015,63.0
November,37558,2928.0,19105.2,2016,224.0
November,37558,2928.0,19105.2,2017,370.0
November,37558,2928.0,19105.2,2018,317.1
November,37558,2928.0,19105.2,2019,60.33
November,37558,2928.0,19105.2,2020,239.7
November,37558,2928.0,19105.2,2021,467.7
November,37558,2928.0,19105.2,2022,526.0
November,38053,3410.5,22110.1,2013,161.8
November,38053,3410.5,22110.1,2014,0.0
November,38053,3410.5,22110.1,2015,63.0
November,38053,3410.5,22110.1,2016,224.0
November,38053,3410.5,22110.1,2017,370.0
November,38053,3410.5,22110.1,2018,317.1
November,38053,3410.5,22110.1,2019,60.33
November,38053,3410.5,22110.1,2020,239.7
November,38053,3410.5,22110.1,2021,467.7
November,38053,3410.5,22110.1,2022,526.0
November,35779,1558.7,10568.0,2013,161.8
November,35779,1558.7,10568.0,2014,0.0
November,35779,1558.7,10568.0,2015,63.0
November,35779,1558.7,10568.0,2016,224.0
November,35779,1558.7,10568.0,2017,370.0
November,35779,1558.7,10568.0,2018,317.1
November,35779,1558.7,10568.0,2019,60.33
November,35779,1558.7,10568.0,2020,239.7
November,35779,1558.7,10568.0,2021,467.7
November,35779,1558.7,10568.0,2022,526.0
Desember,38111,97.0,630.5,2013,350.3
Desember,38111,97.0,630.5,2014,0.0
Desember,38111,97.0,630.5,2015,125.0
Desember,38111,97.0,630.5,2016,224.0
Desember,38111,97.0,630.5,2017,178.0
Desember,38111,97.0,630.5,2018,311.3
Desember,38111,97.0,630.5,2019,149.5
Desember,38111,97.0,630.5,2020,543.1
Desember,38111,97.0,630.5,2021,255.8
Desember,38111,97.0,630.5,2022,321.0
Desember,38200,79.93,498.52,2013,350.3
Desember,38200,79.93,498.52,2014,0.0
Desember,38200,79.93,498.52,2015,125.0
Desember,38200,79.93,498.52,2016,224.0
Desember,38200,79.93,498.52,2017,178.0
Desember,38200,79.93,498.52,2018,311.3
Desember,38200,79.93,498.52,2019,149.5
Desember,38200,79.93,498.52,2020,543.1
Desember,38200,79.93,498.52,2021,255.8
Desember,38200,79.93,498.52,2022,321.0
Desember,37558,58.0,378.45,2013,350.3
Desember,37558,58.0,378.45,2014,0.0
Desember,37558,58.0,378.45,2015,125.0
Desember,37558,58.0,378.45,2016,224.0
Desember,37558,58.0,378.45,2017,178.0
Desember,37558,58.0,378.45,2018,311.3
Desember,37558,58.0,378.45,2019,149.5
Desember,37558,58.0,378.45,2020,543.1
Desember,37558,58.0,378.45,2021,255.8
Desember,37558,58.0,378.45,2022,321.0
Desember,38053,313.9,2010.9,2013,350.3
Desember,38053,313.9,2010.9,2014,0.0
Desember,38053,313.9,2010.9,2015,125.0
Desember,38053,313.9,2010.9,2016,224.0
Desember,38053,313.9,2010.9,2017,178.0
Desember,38053,313.9,2010.9,2018,311.3
Desember,38053,313.9,2010.9,2019,149.5
Desember,38053,313.9,2010.9,2020,543.1
Desember,38053,313.9,2010.9,2021,255.8
Desember,38053,313.9,2010.9,2022,321.0
Desember,35779,274.9,1864.0,2013,350.3
Desember,35779,274.9,1864.0,2014,0.0
Desember,35779,274.9,1864.0,2015,125.0
Desember,35779,274.9,1864.0,2016,224.0
Desember,35779,274.9,1864.0,2017,178.0
Desember,35779,274.9,1864.0,2018,311.3
Desember,35779,274.9,1864.0,2019,149.5
Desember,35779,274.9,1864.0,2020,543.1
Desember,35779,274.9,1864.0,2021,255.8
Desember,35779,274.9,1864.0,2022,321.0
